アー	aː
ペトロダラー	petoɾodaɾaː
ペトロフード	petoɾoɸɯːdo
ペトロラタム	petoɾoɾatamɯ
ペナルティ・キック	penaɾɯtei kikːɯ
ペナルティー・エリア	penaɾɯteiː eɾia
ペナルティー・キック	penaɾɯteiː kikːɯ
ペナルティー・ゴール	penaɾɯteiː goːɾɯ
ペナルティー・スロー	penaɾɯteiː sɯɾoː
ペナルティー・ボックス	penaɾɯteiː bokːɯsɯ
ペナルティーエリア	penaɾɯteiːeɾia
ペナルティーエルア	penaɾɯteiːeɾɯa
ペナルティーキック	penaɾɯteiːkikːɯ
ペナルティーゴール	penaɾɯteiːgoːɾɯ
ペナルティースロー	penaɾɯteiːsɯɾoː
ペナルティーボックス	penaɾɯteiːbokːɯsɯ
ペナルティキック	penaɾɯteikikːɯ
ペナント	penaɴto
ペナント・レース	penaɴto ɾeːsɯ
ペナントレース	penaɴtoɾeːsɯ
ペニーウェート	peniːɯeːto
ペニシラミン	peniɕiɾamiɴ
ペニシリン	peniɕiɾiɴ
ペニシリン・アレルギー	peniɕiɾiɴ aɾeɾɯgiː
ペニシリン・ショック	peniɕiɾiɴ ɕokːɯ
ペニシリンアナフィラキシー	peniɕiɾiɴanaɸiɾakiɕiː
ペニシリンアレルギー	peniɕiɾiɴaɾeɾɯgiː
ペニシリンショック	peniɕiɾiɴɕokːɯ
ペニバン	penibaɴ
ペニヒ	peniçi
ペネトレーションテスト	penetoɾeːɕoɴtesɯto
ペパー	pepaː
ペブルド・バタフライフィッシュ	pebɯɾɯdo bataɸɯɾaiɸiɕːɯ
ペブルドバタフライフィッシュ	pebɯɾɯdobataɸɯɾaiɸiɕːɯ
ペプシノーゲン	pepɯɕinoːgeɴ
ペプシン	pepɯɕiɴ
ペプチダーゼ	pepɯtɕidaːze
ペプチド・ホルモン	pepɯtɕido hoɾɯmoɴ
ペプチドホルモン	pepɯtɕidohoɾɯmoɴ
ペプトン	pepɯtoɴ
ペプラム	pepɯɾamɯ
ペヘレイ	peheɾei
ペペロミア	pepeɾomia
ペペロンチーノ	pepeɾoɴtɕiːno
ペミカン	pemikaɴ
ペヤ	peja
ペヨーテ	pejoːte
ペラグラ	peɾagɯɾa
ペラペラ	peɾapeɾa
ペラルゴニウム	peɾaɾɯgoniɯmɯ
ペリシアーズグレゴリー	peɾiɕiaːzɯgɯɾegoɾiː
ペリスコープ	peɾisɯkoːpɯ
ペリフェラル	peɾiɸɯeɾaɾɯ
ペリペリ	peɾipeɾi
ペリル・ポイント	peɾiɾɯ poiɴto
ペリルポイント	peɾiɾɯpoiɴto
ペリンオウギハクジラ	peɾiɴoɯgihakɯdʑiɾa
ペル	peɾɯ
ペルーケナガアルマジロ	peɾɯːkenagaaɾɯmadʑiɾo
ペルーテンジクネズミ	peɾɯːteɴdʑikɯnezɯmi
ペルオキシソーム	peɾɯokiɕisoːmɯ
ペルオキシド	peɾɯokiɕido
ペルソナ	peɾɯsona
ペルソナノングラータ	peɾɯsonanoɴgɯɾaːta
ペルヴィアンクロミス	peɾɯviaɴkɯɾomisɯ
ペレストロイカ	peɾesɯtoɾoika
ペレスメジロザメ	peɾesɯmedʑiɾozame
ペレタイジング	peɾetaidʑiɴgɯ
ペレット	peɾetːo
ペレンティーオオトカゲ	peɾeɴteiːootokage
ペロペロ	peɾopeɾo
ペン・クラブ	peɴ kɯɾabɯ
ペン・コンピュータ	peɴ koɴpjɯːta
ペン・タブレット	peɴ tabɯɾetːo
ペン・パル	peɴ paɾɯ
ペン・フリック	peɴ ɸɯɾikːɯ
ペン・プロッター	peɴ pɯɾotːaː
ペンキ・ローラー	peɴki ɾoːɾaː
ペンキローラー	peɴkiɾoːɾaː
ペンクラブ	peɴkɯɾabɯ
ペンコンピュータ	peɴkoɴpjɯːta
ペンシル	peɴɕiɾɯ
ペンシル・ストライプ	peɴɕiɾɯ sɯtoɾaipɯ
ペンシル・フィッシュ	peɴɕiɾɯ ɸiɕːɯ
ペンシルストライプ	peɴɕiɾɯsɯtoɾaipɯ
ペンシルバニア	peɴɕiɾɯbania
ペンシルフィッシュ	peɴɕiɾɯɸiɕːɯ
ペンシルベニア	peɴɕiɾɯbenia
ペンシルベニア・ダッチ	peɴɕiɾɯbenia datɕːi
ペンシルベニアダッチ	peɴɕiɾɯbeniadatɕːi
ペンス	peɴsɯ
ペンステモン	peɴsɯtemoɴ
ペンセ	peɴse
ペンタゾシン	peɴtazoɕiɴ
ペンタッチ	peɴtatɕːi
ペンタトニック	peɴtatonikːɯ
ペンタブレット	peɴtabɯɾetːo
ペンタプリズム	peɴtapɯɾizɯmɯ
ペンタン	peɴtaɴ
ペンダント・トップ	peɴdaɴto topːɯ
ペンダントトップ	peɴdaɴtotopːɯ
ペンティアム	peɴteiamɯ
ペンティアム・オーディーピー	peɴteiamɯ oːdeiːpiː
ペンティアム・スリー	peɴteiamɯ sɯɾiː
ペンティアム・ツー	peɴteiamɯ tsɯː
ペンティアムオーディーピー	peɴteiamɯoːdeiːpiː
ペンティアムスリー	peɴteiamɯsɯɾiː
ペンティアムツー	peɴteiamɯtsɯː
ペンティアムツー・ジーオン	peɴteiamɯtsɯː dʑiːoɴ
ペンティアムツージーオン	peɴteiamɯtsɯːdʑiːoɴ
ペンティアムプロ	peɴteiamɯpɯɾo
ペンディング	peɴdeiɴgɯ
ペントース	peɴtoːsɯ
ペントリット	peɴtoɾitːo
ペンナイフ	peɴnaiɸɯ
ペンネ	peɴne
ペンネーム	peɴneːmɯ
ペンバクロミス	peɴbakɯɾomisɯ
ペンパル	peɴpaɾɯ
ペンフリック	peɴɸɯɾikːɯ
ペンプロッター	peɴpɯɾotːaː
ペンペングサ	peɴpeɴgɯsa
ペンホルダ	peɴhoɾɯda
ペンホルダー	peɴhoɾɯdaː
ペンホルダー・グリップ	peɴhoɾɯdaː gɯɾipːɯ
ペンホルダーグリップ	peɴhoɾɯdaːgɯɾipːɯ
ペンボタン	peɴbotaɴ
ペンマンシップ	peɴmaɴɕipːɯ
ペンライト	peɴɾaito
ペンローズ・タイル	peɴɾoːzɯ taiɾɯ
ペンローズタイル	peɴɾoːzɯtaiɾɯ
ホー	hoː
ホーア	hoːa
ホーサ	hoːsa
ホーサー	hoːsaː
ホーザ	hoːza
ホーザー	hoːzaː
ホース・レース	hoːsɯ ɾeːsɯ
ホースアウト	hoːsɯaɯto
ホースカラータイプ	hoːsɯkaɾaːtaipɯ
ホースパワー	hoːsɯpaɰᵝaː
ホースフェイス・ユニコーンフィッシュ	hoːsɯɸɯeisɯ jɯnikoːɴɸiɕːɯ
ホースフェイス・ローチ	hoːsɯɸɯeisɯ ɾoːtɕi
ホースフェイスユニコーンフィッシュ	hoːsɯɸɯeisɯjɯnikoːɴɸiɕːɯ
ホースフェイスローチ	hoːsɯɸɯeisɯɾoːtɕi
ホースレース	hoːsɯɾeːsɯ
ホーデン	hoːdeɴ
ホーニング	hoːniɴgɯ
ホーネット	hoːnetːo
ホーバークラフト	hoːbaːkɯɾaɸɯto
ホーブ	hoːbɯ
ホープ	hoːpɯ
ホーボー	hoːboː
ホーミング	hoːmiɴgɯ
ホーム・アドレス	hoːmɯ adoɾesɯ
ホーム・イン	hoːmɯ iɴ
ホーム・インプルーブメント	hoːmɯ iɴpɯɾɯːbɯmeɴto
ホーム・ウエア	hoːmɯ ɯea
ホーム・エコノミックス	hoːmɯ ekonomikːɯsɯ
ホーム・エステ	hoːmɯ esɯte
ホーム・エレクトロニクス	hoːmɯ eɾekɯtoɾonikɯsɯ
ホーム・オートメーション	hoːmɯ oːtomeːɕoɴ
ホーム・クッキング	hoːmɯ kɯkːiɴgɯ
ホーム・グランド	hoːmɯ gɯɾaɴdo
ホーム・ゲーム	hoːmɯ geːmɯ
ホーム・コメディ	hoːmɯ komedei
ホーム・コメディー	hoːmɯ komedeiː
ホーム・コンピューティング	hoːmɯ koɴpjɯːteiɴgɯ
ホーム・ショッピング	hoːmɯ ɕopːiɴgɯ
ホーム・スクーリング	hoːmɯ sɯkɯːɾiɴgɯ
ホーム・スクール	hoːmɯ sɯkɯːɾɯ
ホーム・スチール	hoːmɯ sɯtɕiːɾɯ
ホーム・ストレート	hoːmɯ sɯtoɾeːto
ホーム・セキュリティー・システム	hoːmɯ sekjɯɾiteiː ɕisɯtemɯ
ホーム・センター	hoːmɯ seɴtaː
ホーム・ターミナル	hoːmɯ taːminaɾɯ
ホーム・チーム	hoːmɯ tɕiːmɯ
ホーム・ティーチャー	hoːmɯ teiːtɕaː
ホーム・テレホン	hoːmɯ teɾehoɴ
ホーム・トレーディング	hoːmɯ toɾeːdeiɴgɯ
ホーム・トレード	hoːmɯ toɾeːdo
ホーム・ドクター	hoːmɯ dokɯtaː
ホーム・ドラマ	hoːmɯ doɾama
ホーム・ドレス	hoːmɯ doɾesɯ
ホーム・バー	hoːmɯ baː
ホーム・バンキング	hoːmɯ baɴkiɴgɯ
ホーム・パーティー	hoːmɯ paːteiː
ホーム・フリージング	hoːmɯ ɸɯɾiːdʑiɴgɯ
ホーム・プレート	hoːmɯ pɯɾeːto
ホーム・ヘルパー	hoːmɯ heɾɯpaː
ホーム・ベーカリー	hoːmɯ beːkaɾiː
ホーム・ベース	hoːmɯ beːsɯ
ホーム・ページ	hoːmɯ peːdʑi
ホーム・ポジション	hoːmɯ podʑiɕoɴ
ホーム・マシン	hoːmɯ maɕiɴ
ホーム・ムービー	hoːmɯ mɯːbiː
ホーム・ユーザ	hoːmɯ jɯːza
ホーム・ユーザー	hoːmɯ jɯːzaː
ホーム・ユース	hoːmɯ jɯːsɯ
ホーム・ラン	hoːmɯ ɾaɴ
ホーム・ラン・ダービー	hoːmɯ ɾaɴ daːbiː
ホーム・リザベーション	hoːmɯ ɾizabeːɕoɴ
ホーム・ロイヤー	hoːmɯ ɾoijaː
ホームアドレス	hoːmɯadoɾesɯ
ホームアンドアウェー	hoːmɯaɴdoaɯeː
ホームアンドアウエー	hoːmɯaɴdoaɯeː
ホームイン	hoːmɯiɴ
ホームインプルーブメント	hoːmɯiɴpɯɾɯːbɯmeɴto
ホームウエア	hoːmɯɯea
ホームエコノミックス	hoːmɯekonomikːɯsɯ
ホームエステ	hoːmɯesɯte
ホームエレクトロニクス	hoːmɯeɾekɯtoɾonikɯsɯ
ホームオートメーション	hoːmɯoːtomeːɕoɴ
ホームクッキング	hoːmɯkɯkːiɴgɯ
ホームグラウンド	hoːmɯgɯɾaɯɴdo
ホームグランド	hoːmɯgɯɾaɴdo
ホームゲーム	hoːmɯgeːmɯ
ホームコメディ	hoːmɯkomedei
ホームコメディー	hoːmɯkomedeiː
ホームコンピューティング	hoːmɯkoɴpjɯːteiɴgɯ
ホームショッピング	hoːmɯɕopːiɴgɯ
ホームスクーリング	hoːmɯsɯkɯːɾiɴgɯ
ホームスクール	hoːmɯsɯkɯːɾɯ
ホームスチール	hoːmɯsɯtɕiːɾɯ
ホームストレート	hoːmɯsɯtoɾeːto
ホームストレッチ	hoːmɯsɯtoɾetɕːi
ホームスパン	hoːmɯsɯpaɴ
ホームセキュリティーシステム	hoːmɯsekjɯɾiteiːɕisɯtemɯ
ホームセンター	hoːmɯseɴtaː
ホームターミナル	hoːmɯtaːminaɾɯ
ホームタウン	hoːmɯtaɯɴ
ホームタウン・ディシジョン	hoːmɯtaɯɴ deiɕidʑoɴ
ホームタウン・デシジョン	hoːmɯtaɯɴ deɕidʑoɴ
ホームタウンディシジョン	hoːmɯtaɯɴdeiɕidʑoɴ
ホームタウンデシジョン	hoːmɯtaɯɴdeɕidʑoɴ
ホームチーム	hoːmɯtɕiːmɯ
ホームティーチャー	hoːmɯteiːtɕaː
ホームテレホン	hoːmɯteɾehoɴ
ホームディレクトリ	hoːmɯdeiɾekɯtoɾi
ホームトレーディング	hoːmɯtoɾeːdeiɴgɯ
ホームトレード	hoːmɯtoɾeːdo
ホームドクター	hoːmɯdokɯtaː
ホームドラマ	hoːmɯdoɾama
ホームドレス	hoːmɯdoɾesɯ
ホームバー	hoːmɯbaː
ホームバンキング	hoːmɯbaɴkiɴgɯ
ホームパーティー	hoːmɯpaːteiː
ホームフリージング	hoːmɯɸɯɾiːdʑiɴgɯ
ホームプレート	hoːmɯpɯɾeːto
ホームヘルパー	hoːmɯheɾɯpaː
ホームベーカリー	hoːmɯbeːkaɾiː
ホームベース	hoːmɯbeːsɯ
ホームページ	hoːmɯpeːdʑi
ホームポジション	hoːmɯpodʑiɕoɴ
ホームマシン	hoːmɯmaɕiɴ
ホームムービー	hoːmɯmɯːbiː
ホームメーカー	hoːmɯmeːkaː
ホームメード	hoːmɯmeːdo
ホームメイド	hoːmɯmeido
ホームユーザ	hoːmɯjɯːza
ホームユーザー	hoːmɯjɯːzaː
ホームユース	hoːmɯjɯːsɯ
ホームラン	hoːmɯɾaɴ
ホームランダービー	hoːmɯɾaɴdaːbiː
ホームリザベーション	hoːmɯɾizabeːɕoɴ
ホームレス	hoːmɯɾesɯ
ホームロイヤー	hoːmɯɾoijaː
ホームワーク	hoːmɯɰᵝaːkɯ
ホーリー	hoːɾiː
ホーリズム	hoːɾizɯmɯ
ホール・アウト	hoːɾɯ aɯto
ホール・イン・ワン	hoːɾɯ iɴ ɰᵝaɴ
ホール・スタッフ	hoːɾɯ sɯtaɸːɯ
ホール・トマト	hoːɾɯ tomato
ホール・ピペット	hoːɾɯ pipetːo
ホールアウト	hoːɾɯaɯto
ホールインワン	hoːɾɯiɴɰᵝaɴ
ホールスタッフ	hoːɾɯsɯtaɸːɯ
ホールセーラー	hoːɾɯseːɾaː
ホールセール	hoːɾɯseːɾɯ
ホールセラー	hoːɾɯseɾaː
ホールター	hoːɾɯtaː
ホールターネック	hoːɾɯtaːnekːɯ
ホールダー	hoːɾɯdaː
ホールディング	hoːɾɯdeiɴgɯ
ホールディングス	hoːɾɯdeiɴgɯsɯ
ホールトマト	hoːɾɯtomato
ホールド	hoːɾɯdo
ホールド・アップ	hoːɾɯdo apːɯ
ホールド・タイム	hoːɾɯdo taimɯ
ホールドアップ	hoːɾɯdoapːɯ
ホールドタイム	hoːɾɯdotaimɯ
ホールピペット	hoːɾɯpipetːo
ホールホイートブレッド	hoːɾɯhoiːtobɯɾedːo
ホーロー	hoːɾoː
ホーローウェア	hoːɾoːɯea
ホーン・シャーク	hoːɴ ɕaːkɯ
ホーンシャーク	hoːɴɕaːkɯ
ホアー	hoaː
ホアチン	hoatɕiɴ
ホイ	hoi
ホイール	hoiːɾɯ
ホイール・アライメント	hoiːɾɯ aɾaimeɴto
ホイール・キャップ	hoiːɾɯ kjapːɯ
ホイール・マウス	hoiːɾɯ maɯsɯ
ホイールアライメント	hoiːɾɯaɾaimeɴto
ホイールキャップ	hoiːɾɯkjapːɯ
ホイールスピン	hoiːɾɯsɯpiɴ
ホイールベース	hoiːɾɯbeːsɯ
ホイールマウス	hoiːɾɯmaɯsɯ
ホイスト	hoisɯto
ホイッスルブロウワー	hoisːɯɾɯbɯɾoɯɰᵝaː
ホイッパー	hoipːaː
ホイッパーウィルヨタカ	hoipːaːɯiɾɯjotaka
ホイップ	hoipːɯ
ホイップ・クリーム	hoipːɯ kɯɾiːmɯ
ホイップアーウイルヨタカ	hoipːɯaːɯiɾɯjotaka
ホイップクリーム	hoipːɯkɯɾiːmɯ
ホイペット	hoipetːo
ホイホイ	hoihoi
ホイリゲ	hoiɾige
ホイル	hoiɾɯ
ホウィスカ	hoɯisɯka
ホウオウガイ	hoɯoɯgai
ホウオウチク	hoɯoɯtɕikɯ
ホウオウボク	hoɯoɯbokɯ
ホウキグサ	hoɯkigɯsa
ホウキムシ	hoɯkimɯɕi
ホウギュウ	hoɯgjɯɯ
ホウサンダンゴ	hoɯsaɴdaɴgo
ホウシゼミ	hoɯɕizemi
ホウズキ	hoɯzɯki
ホウセキハタ	hoɯsekihata
ホウネンエビ	hoɯneɴebi
ホウノキ	hoɯnoki
ホウボウ	hoɯboɯ
ホウムズ	hoɯmɯzɯ
ホウライエソ	hoɯɾaieso
ホウライザメ	hoɯɾaizame
ホウライシダ	hoɯɾaiɕida
ホウライチク	hoɯɾaitɕikɯ
ホウライヒメジ	hoɯɾaiçimedʑi
ホウロウ	hoɯɾoɯ
ホェール	hoeːɾɯ
ホエー	hoeː
ホエール	hoeːɾɯ
ホエール・ウォッチング	hoeːɾɯ ɯotɕːiɴgɯ
ホエール・ウオッチング	hoeːɾɯ ɯotɕːiɴgɯ
ホエールウォッチング	hoeːɾɯɯotɕːiɴgɯ
ホエールウオッチング	hoeːɾɯɯotɕːiɴgɯ
ホエイ	hoei
ホエザル	hoezaɾɯ
ホエジカ	hoedʑika
ホオジロ	hoodʑiɾo
ホオジロガモ	hoodʑiɾogamo
ホオジロザメ	hoodʑiɾozame
ホオスジオオトカゲ	hoosɯdʑiootokage
ホオズキ	hoozɯki
ホオズキガイ	hoozɯkigai
ホオノキ	hoonoki
ホクロ	hokɯɾo
ホクロキンチャクフグ	hokɯɾokiɴtɕakɯɸɯgɯ
ホコサキ	hokosaki
ホコリ	hokoɾi
ホコリダニ	hokoɾidani
ホサナ	hosana
ホザキシモツケ	hozakiɕimotsɯke
ホザキノフサモ	hozakinoɸɯsamo
ホシガラス	hoɕigaɾasɯ
ホシクサ	hoɕikɯsa
ホシクズベニハゼ	hoɕikɯzɯbenihaze
ホシゴンベ	hoɕigoɴbe
ホシザメ	hoɕizame
ホシゾラヤッコ	hoɕizoɾajakːo
ホシダカラガイ	hoɕidakaɾagai
ホシバナモグラ	hoɕibanamogɯɾa
ホシヒレイソハゼ	hoɕiçiɾeisohaze
ホシフグ	hoɕiɸɯgɯ
ホシミドロ	hoɕimidoɾo
ホシムクドリ	hoɕimɯkɯdoɾi
ホシムシ	hoɕimɯɕi
ホスゲン	hosɯgeɴ
ホスジャンプ	hosɯdʑaɴpɯ
ホスツ	hosɯtsɯ
ホスティング	hosɯteiɴgɯ
ホスティング・サーバ	hosɯteiɴgɯ saːba
ホスティング・サーバー	hosɯteiɴgɯ saːbaː
ホスティング・サービス	hosɯteiɴgɯ saːbisɯ
ホスティングサーバ	hosɯteiɴgɯsaːba
ホスティングサーバー	hosɯteiɴgɯsaːbaː
ホスティングサービス	hosɯteiɴgɯsaːbisɯ
ホステラー	hosɯteɾaː
ホスト・カントリー	hosɯto kaɴtoɾiː
ホスト・クラブ	hosɯto kɯɾabɯ
ホスト・コンピュータ	hosɯto koɴpjɯːta
ホスト・コンピューター	hosɯto koɴpjɯːtaː
ホスト・システム	hosɯto ɕisɯtemɯ
ホスト・ノード	hosɯto noːdo
ホスト・バス・アダプタ	hosɯto basɯ adapɯta
ホスト・ファーザー	hosɯto ɸaːzaː
ホスト・ファミリー	hosɯto ɸamiɾiː
ホスト・マザー	hosɯto mazaː
ホスト・マシン	hosɯto maɕiɴ
ホストカントリー	hosɯtokaɴtoɾiː
ホストクラブ	hosɯtokɯɾabɯ
ホストコンピュータ	hosɯtokoɴpjɯːta
ホストコンピューター	hosɯtokoɴpjɯːtaː
ホストシステム	hosɯtoɕisɯtemɯ
ホストネーム	hosɯtoneːmɯ
ホストノード	hosɯtonoːdo
ホストバスアダプタ	hosɯtobasɯadapɯta
ホストファーザー	hosɯtoɸaːzaː
ホストマザー	hosɯtomazaː
ホストマシン	hosɯtomaɕiɴ
ホスピス	hosɯpisɯ
ホスピタリズム	hosɯpitaɾizɯmɯ
ホスピタリティ	hosɯpitaɾitei
ホスピタリティー	hosɯpitaɾiteiː
ホスピタル	hosɯpitaɾɯ
ホスファゲン	hosɯɸageɴ
ホスファターゼ	hosɯɸataːze
ホスファチジルエタノールアミン	hosɯɸatɕidʑiɾɯetanoːɾɯamiɴ
ホスホキナーゼ	hosɯhokinaːze
ホスホリラーゼ	hosɯhoɾiɾaːze
ホソウミニナ	hosoɯminina
ホソクビゴミムシ	hosokɯbigomimɯɕi
ホソバニンジン	hosobaniɴdʑiɴ
ホタテ	hotate
ホタテガイ	hotategai
ホタル	hotaɾɯ
ホタルイ	hotaɾɯi
ホタルイカ	hotaɾɯika
ホッキョクイワナ	hokːjokɯiɰᵝana
ホッキョクオオカミ	hokːjokɯookami
ホッキョクギツネ	hokːjokɯgitsɯne
ホッキョククジラ	hokːjokɯkɯdʑiɾa
ホッキョクグマ	hokːjokɯgɯma
ホッキョクダラ	hokːjokɯdaɾa
ホッキョクノウサギ	hokːjokɯnoɯsagi
ホック	hokːɯ
ホッグ	hogːɯ
ホッケ	hokːe
ホッコクアカエビ	hokːokɯakaebi
ホッテントット	hotːeɴtotːo
ホット・アトム	hotːo atomɯ
ホット・ウィスキー	hotːo ɯisɯkiː
ホット・ウイスキー	hotːo ɯisɯkiː
ホット・ウオー	hotːo ɯoː
ホット・カーペット	hotːo kaːpetːo
ホット・カーラー	hotːo kaːɾaː
ホット・コーナー	hotːo koːnaː
ホット・コーヒー	hotːo koːçiː
ホット・サンド	hotːo saɴdo
ホット・シュー	hotːo ɕɯː
ホット・ジャズ	hotːo dʑazɯ
ホット・スタート	hotːo sɯtaːto
ホット・スタンバイ	hotːo sɯtaɴbai
ホット・スペア	hotːo sɯpea
ホット・スポット	hotːo sɯpotːo
ホット・スワップ	hotːo sɯɰᵝapːɯ
ホット・ソース	hotːo soːsɯ
ホット・タイプ	hotːo taipɯ
ホット・チョコレート	hotːo tɕokoɾeːto
ホット・ドッキング	hotːo dokːiɴgɯ
ホット・ドッグ	hotːo dogːɯ
ホット・ニュース	hotːo njɯːsɯ
ホット・バックアップ	hotːo bakːɯapːɯ
ホット・バルーン	hotːo baɾɯːɴ
ホット・フラッシュ	hotːo ɸɯɾaɕːɯ
ホット・プラグ	hotːo pɯɾagɯ
ホット・ポテト	hotːo poteto
ホット・マネー	hotːo maneː
ホット・ライン	hotːo ɾaiɴ
ホット・ラボラトリー	hotːo ɾaboɾatoɾiː
ホット・リセット	hotːo ɾisetːo
ホット・ロッド	hotːo ɾodːo
ホット・ワイン	hotːo ɰᵝaiɴ
ホットアトム	hotːoatomɯ
ホットウィスキー	hotːoɯisɯkiː
ホットウイスキー	hotːoɯisɯkiː
ホットウォー	hotːoɯoː
ホットウオー	hotːoɯoː
ホットカーペット	hotːokaːpetːo
ホットカーラー	hotːokaːɾaː
ホットキー	hotːokiː
ホットケーキ・ミックス	hotːokeːki mikːɯsɯ
ホットケーキミックス	hotːokeːkimikːɯsɯ
ホットコーナー	hotːokoːnaː
ホットコーヒー	hotːokoːçiː
ホットサンド	hotːosaɴdo
ホットシュー	hotːoɕɯː
ホットジャズ	hotːodʑazɯ
ホットジャバ	hotːodʑaba
ホットスタート	hotːosɯtaːto
ホットスタンバイ	hotːosɯtaɴbai
ホットスペア	hotːosɯpea
ホットスポット	hotːosɯpotːo
ホットスワッパブル	hotːosɯɰᵝapːabɯɾɯ
ホットスワップ	hotːosɯɰᵝapːɯ
ホットタイプ	hotːotaipɯ
ホットチョコレート	hotːotɕokoɾeːto
ホットドッキング	hotːodokːiɴgɯ
ホットドッグ	hotːodogːɯ
ホットニュース	hotːonjɯːsɯ
ホットバックアップ	hotːobakːɯapːɯ
ホットバルーン	hotːobaɾɯːɴ
ホットパンツ	hotːopaɴtsɯ
ホットフラッシュ	hotːoɸɯɾaɕːɯ
ホットプラグ	hotːopɯɾagɯ
ホットポテト	hotːopoteto
ホットマネー	hotːomaneː
ホットライン	hotːoɾaiɴ
ホットラボ	hotːoɾabo
ホットラボラトリー	hotːoɾaboɾatoɾiː
ホットリスト	hotːoɾisɯto
ホットリセット	hotːoɾisetːo
ホットリンク	hotːoɾiɴkɯ
ホットロッド	hotːoɾodːo
ホットワイン	hotːoɰᵝaiɴ
ホッパー	hopːaː
ホッビング・マシン	hobːiɴgɯ maɕiɴ
ホッビングマシン	hobːiɴgɯmaɕiɴ
ホッピング	hopːiɴgɯ
ホップ	hopːɯ
ホップ・ステップ・ジャンプ	hopːɯ sɯtepːɯ dʑaɴpɯ
ホップステップジャンプ	hopːɯsɯtepːɯdʑaɴpɯ
ホッホッホッ	hohːohːoッ
ホテイチ	hoteitɕi
ホテイベニハゼ	hoteibenihaze
ホテイラン	hoteiɾaɴ
ホテトル	hotetoɾɯ
ホテヘル	hoteheɾɯ
ホテル・ヘルス	hoteɾɯ heɾɯsɯ
ホテル・マン	hoteɾɯ maɴ
ホテルヘルス	hoteɾɯheɾɯsɯ
ホテルマン	hoteɾɯmaɴ
ホトケドジョウ	hotokedodʑoɯ
ホトケノザ	hotokenoza
ホトシンセシス	hotoɕiɴseɕisɯ
ホトトギス	hototogisɯ
ホトトギスソウ	hototogisɯsoɯ
ホトマル	hotomaɾɯ
ホノルル	honoɾɯɾɯ
ホバーボード	hobaːboːdo
ホビー	hobiː
ホビー・クラフト	hobiː kɯɾaɸɯto
ホビークラフト	hobiːkɯɾaɸɯto
ホフブロイハウス	hoɸɯbɯɾoihaɯsɯ
ホブ	hobɯ
ホホジロ	hohodʑiɾo
ホホジロザメ	hohodʑiɾozame
ホマトロピン	homatoɾopiɴ
ホミニゼーション	hominizeːɕoɴ
ホムペ	homɯpe
ホメオーシス	homeoːɕisɯ
ホメオパシー	homeopaɕiː
ホメオパス	homeopasɯ
ホメオパチー	homeopatɕiː
ホメオパティー	homeopateiː
ホメオボックス	homeobokːɯsɯ
ホメパゲ	homepage
ホモ・エコノミクス	homo ekonomikɯsɯ
ホモ・エレクトゥス	homo eɾekɯtɯsɯ
ホモ・エレクトス	homo eɾekɯtosɯ
ホモ・サピエンス	homo sapieɴsɯ
ホモ・サピエンス・イダルツ	homo sapieɴsɯ idaɾɯtsɯ
ホモ・サピエンス・イダルトゥ	homo sapieɴsɯ idaɾɯtɯ
ホモ・セックス	homo sekːɯsɯ
ホモ・ハビリス	homo habiɾisɯ
ホモ・バー	homo baː
ホモ・ファーベル	homo ɸaːbeɾɯ
ホモ・ルーデンス	homo ɾɯːdeɴsɯ
ホモエコノミクス	homoekonomikɯsɯ
ホモエレクトゥス	homoeɾekɯtɯsɯ
ホモエレクトス	homoeɾekɯtosɯ
ホモカリオン	homokaɾioɴ
ホモゲナイズ	homogenaizɯ
ホモサピエンスイダルツ	homosapieɴsɯidaɾɯtsɯ
ホモサピエンスイダルトゥ	homosapieɴsɯidaɾɯtɯ
ホモシステイン	homoɕisɯteiɴ
ホモジナイズ	homodʑinaizɯ
ホモジニアス・コンソリデーション	homodʑiniasɯ koɴsoɾideːɕoɴ
ホモジニアスコンソリデーション	homodʑiniasɯkoɴsoɾideːɕoɴ
ホモセクシャル	homosekɯɕaɾɯ
ホモセクシュアリティ	homosekɯɕɯaɾitei
ホモセクシュアリティー	homosekɯɕɯaɾiteiː
ホモセクシュアル	homosekɯɕɯaɾɯ
ホモセックス	homosekːɯsɯ
ホモトピー	homotopiː
ホモニム	homonimɯ
ホモハビリス	homohabiɾisɯ
ホモバー	homobaː
ホモファーベル	homoɸaːbeɾɯ
ホモファベル	homoɸabeɾɯ
ホモフォニー	homoɸoniː
ホモモーベンス	homomoːbeɴsɯ
ホモルーデンス	homoɾɯːdeɴsɯ
ホモロジー	homoɾodʑiː
ホヤ	hoja
ホラ	hoɾa
ホラアナグマ	hoɾaanagɯma
ホライモリ	hoɾaimoɾi
ホラカントゥスバミューデンシス	hoɾakaɴtɯsɯbamjɯːdeɴɕisɯ
ホラガイ	hoɾagai
ホリー	hoɾiː
ホリスティック	hoɾisɯteikːɯ
ホリスティック・ヘルス	hoɾisɯteikːɯ heɾɯsɯ
ホリスティックヘルス	hoɾisɯteikːɯheɾɯsɯ
ホリズム	hoɾizɯmɯ
ホリゾンタル	hoɾizoɴtaɾɯ
ホリゾント	hoɾizoɴto
ホリデー	hoɾideː
ホリデイ	hoɾidei
ホリネズミ	hoɾinezɯmi
ホリホック	hoɾihokːɯ
